idade,at2000-m,at2000-f
0,"0,002311","0,001794"
1,"0,000906","0,000755"
2,"0,000504","0,000392"
3,"0,000408","0,00029"
4,"0,000357","0,000232"
5,"0,000324","0,000189"
6,"0,000301","0,000156"
7,"0,000286","0,000131"
8,"0,000328","0,000131"
9,"0,000362","0,000134"
10,"0,00039","0,00014"
11,"0,000413","0,000148"
12,"0,000431","0,000158"
13,"0,000446","0,00017"
14,"0,000458","0,000183"
15,"0,00047","0,000197"
16,"0,000481","0,000212"
17,"0,000495","0,000228"
18,"0,00051","0,000244"
19,"0,000528","0,00026"
20,"0,000549","0,000277"
21,"0,000573","0,000294"
22,"0,000599","0,000312"
23,"0,000627","0,00033"
24,"0,000657","0,000349"
25,"0,000686","0,000367"
26,"0,000714","0,000385"
27,"0,000738","0,000403"
28,"0,000758","0,000419"
29,"0,000774","0,000435"
30,"0,000784","0,00045"
31,"0,000789","0,000463"
32,"0,000789","0,000476"
33,"0,00079","0,000488"
34,"0,000791","0,0005"
35,"0,000792","0,000515"
36,"0,000794","0,000534"
37,"0,000823","0,000558"
38,"0,000872","0,00059"
39,"0,000945","0,00063"
40,"0,001043","0,000677"
41,"0,001168","0,000732"
42,"0,001322","0,000796"
43,"0,001505","0,000868"
44,"0,001715","0,00095"
45,"0,001948","0,001043"
46,"0,002198","0,001148"
47,"0,002463","0,001267"
48,"0,00274","0,0014"
49,"0,003028","0,001548"
50,"0,00333","0,00171"
51,"0,003647","0,001888"
52,"0,00398","0,002079"
53,"0,004331","0,002286"
54,"0,004698","0,002507"
55,"0,005077","0,002746"
56,"0,005465","0,003003"
57,"0,005861","0,00328"
58,"0,006265","0,003578"
59,"0,006694","0,003907"
60,"0,00717","0,004277"
61,"0,007714","0,004699"
62,"0,008348","0,005181"
63,"0,009093","0,005732"
64,"0,009968","0,006347"
65,"0,010993","0,007017"
66,"0,012188","0,007734"
67,"0,013572","0,008491"
68,"0,01516","0,009288"
69,"0,016946","0,010163"
70,"0,01892","0,011165"
71,"0,021071","0,012339"
72,"0,023388","0,013734"
73,"0,025871","0,015391"
74,"0,028552","0,017326"
75,"0,031477","0,019551"
76,"0,034686","0,022075"
77,"0,038225","0,02491"
78,"0,042132","0,028074"
79,"0,046427","0,031612"
80,"0,051128","0,03558"
81,"0,05625","0,04003"
82,"0,061809","0,045017"
83,"0,067826","0,0506"
84,"0,074322","0,056865"
85,"0,081326","0,063907"
86,"0,088863","0,071815"
87,"0,096958","0,080682"
88,"0,105631","0,090557"
89,"0,114858","0,101307"
90,"0,124612","0,112759"
91,"0,134861","0,124733"
92,"0,145575","0,137054"
93,"0,156727","0,149552"
94,"0,16829","0,162079"
95,"0,180245","0,174492"
96,"0,192565","0,186647"
97,"0,205229","0,198403"
98,"0,218683","0,210337"
99,"0,233371","0,223027"
100,"0,249741","0,237051"
101,"0,268237","0,252985"
102,"0,289305","0,271406"
103,"0,313391","0,292893"
104,"0,34094","0,318023"
105,"0,372398","0,347373"
106,"0,40821","0,38152"
107,"0,448823","0,421042"
108,"0,494681","0,466516"
109,"0,546231","0,51852"
110,"0,603917","0,577631"
111,"0,668186","0,644427"
112,"0,739483","0,719484"
113,"0,818254","0,80338"
114,"0,904945","0,896693"
115,1,1
