idade,brems2021mt-m,brems2021mt-f,brems2021sb-m,brems2021sb-f
0,"0,000371","0,000293","0,000353","0,000293"
1,"0,000242","0,000192","0,000226","0,000192"
2,"0,000213","0,000155","0,000196","0,000155"
3,"0,000199","0,000134","0,000181","0,000134"
4,"0,000192","0,000121","0,000173","0,000121"
5,"0,000188","0,000113","0,000167","0,000113"
6,"0,000186","0,000109","0,000164","0,000109"
7,"0,000187","0,000109","0,000163","0,000109"
8,"0,000189","0,000115","0,000163","0,000115"
9,"0,000196","0,000127","0,000166","0,000127"
10,"0,000209","0,000145","0,000173","0,000145"
11,"0,000233","0,000168","0,000186","0,000168"
12,"0,000270","0,000194","0,00021","0,000194"
13,"0,000324","0,000221","0,000249","0,000221"
14,"0,000394","0,000247","0,000306","0,000247"
15,"0,000476","0,000269","0,000379","0,000269"
16,"0,000568","0,000289","0,000465","0,000289"
17,"0,000662","0,000304","0,000557","0,000304"
18,"0,000752","0,000316","0,000646","0,000316"
19,"0,000833","0,000323","0,000727","0,000323"
20,"0,000902","0,000328","0,000793","0,000328"
21,"0,000957","0,000331","0,000844","0,000331"
22,"0,000998","0,000332","0,000877","0,000332"
23,"0,001025","0,000332","0,000892","0,000332"
24,"0,001040","0,000332","0,000895","0,000332"
25,"0,001047","0,000332","0,000886","0,000332"
26,"0,001048","0,000333","0,00087","0,000333"
27,"0,001046","0,000336","0,00085","0,000336"
28,"0,001043","0,000340","0,000828","0,00034"
29,"0,001042","0,000347","0,000809","0,000347"
30,"0,001045","0,000356","0,000794","0,000356"
31,"0,001053","0,000368","0,000786","0,000368"
32,"0,001069","0,000382","0,000784","0,000382"
33,"0,001093","0,000400","0,000791","0,0004"
34,"0,001126","0,000422","0,000807","0,000422"
35,"0,001170","0,000447","0,000831","0,000447"
36,"0,001224","0,000476","0,000865","0,000476"
37,"0,001290","0,000509","0,000909","0,000509"
38,"0,001367","0,000547","0,000963","0,000547"
39,"0,001458","0,000590","0,001027","0,00059"
40,"0,001561","0,000638","0,001102","0,000638"
41,"0,001679","0,000692","0,001187","0,000692"
42,"0,001812","0,000753","0,001285","0,000753"
43,"0,001960","0,000819","0,001394","0,000819"
44,"0,002126","0,000894","0,001516","0,000894"
45,"0,002311","0,000976","0,001651","0,000976"
46,"0,002515","0,001067","0,001802","0,001067"
47,"0,002740","0,001167","0,001968","0,001167"
48,"0,002989","0,001279","0,002153","0,001279"
49,"0,003263","0,001401","0,002356","0,001401"
50,"0,003565","0,001536","0,00258","0,001536"
51,"0,003896","0,001685","0,002828","0,001685"
52,"0,004260","0,001849","0,0031","0,001849"
53,"0,004659","0,002031","0,0034","0,002031"
54,"0,005098","0,002230","0,003729","0,00223"
55,"0,005578","0,002449","0,004092","0,002449"
56,"0,006106","0,002691","0,004492","0,002691"
57,"0,006684","0,002957","0,00493","0,002957"
58,"0,007318","0,003250","0,005414","0,00325"
59,"0,008014","0,003572","0,005945","0,003572"
60,"0,008776","0,003927","0,00653","0,003927"
61,"0,009610","0,004317","0,007172","0,004317"
62,"0,010526","0,004747","0,007879","0,004747"
63,"0,011529","0,005221","0,008656","0,005221"
64,"0,012627","0,005741","0,009512","0,005741"
65,"0,013832","0,006315","0,010452","0,006315"
66,"0,015151","0,006947","0,011486","0,006947"
67,"0,016596","0,007643","0,012624","0,007643"
68,"0,018179","0,008409","0,013873","0,008409"
69,"0,019914","0,009252","0,01525","0,009252"
70,"0,021814","0,010180","0,016764","0,01018"
71,"0,023894","0,011203","0,01843","0,011203"
72,"0,026171","0,012332","0,020264","0,012332"
73,"0,028663","0,013574","0,022282","0,013574"
74,"0,031392","0,014942","0,024505","0,014942"
75,"0,034378","0,016452","0,026951","0,016452"
76,"0,037646","0,018116","0,029636","0,018116"
77,"0,041222","0,019951","0,032597","0,019951"
78,"0,045131","0,021973","0,035857","0,021973"
79,"0,049412","0,024206","0,039445","0,024206"
80,"0,054094","0,026670","0,043396","0,02667"
81,"0,059213","0,029391","0,047744","0,029391"
82,"0,064809","0,032397","0,052535","0,032397"
83,"0,070923","0,035719","0,057815","0,035719"
84,"0,077606","0,039389","0,063624","0,039389"
85,"0,084900","0,043451","0,070028","0,043451"
86,"0,092859","0,047945","0,077088","0,047945"
87,"0,101542","0,052920","0,08487","0,05292"
88,"0,111011","0,058434","0,093446","0,058434"
89,"0,121327","0,064544","0,102908","0,064544"
90,"0,132568","0,071333","0,113357","0,071333"
91,"0,144808","0,078877","0,124888","0,078877"
92,"0,158118","0,087262","0,137624","0,087262"
93,"0,172581","0,096591","0,151705","0,096591"
94,"0,188281","0,106979","0,167236","0,106979"
95,"0,205300","0,118580","0,184405","0,11858"
96,"0,223746","0,131573","0,203374","0,131573"
97,"0,243699","0,146099","0,224368","0,146099"
98,"0,265255","0,162409","0,247589","0,162409"
99,"0,288544","0,180718","0,273277","0,180718"
100,"0,313596","0,201379","0,301686","0,201379"
101,"0,340524","0,224688","0,333145","0,224688"
102,"0,369367","0,251042","0,367863","0,251042"
103,"0,406268","0,280952","0,406268","0,280952"
104,"0,448631","0,315007","0,448631","0,315007"
105,"0,495199","0,353894","0,495199","0,353894"
106,"0,546163","0,398403","0,546163","0,398403"
107,"0,601691","0,449403","0,601691","0,449403"
108,"0,661565","0,507935","0,661565","0,507935"
109,"0,725026","0,575013","0,725026","0,575013"
110,"0,790594","0,651328","0,790594","0,651328"
111,"0,855636","0,736678","0,855636","0,736678"
112,"0,915352","0,828202","0,915352","0,828202"
113,"0,962980","0,916575","0,96298","0,916575"
114,"0,991263","0,980947","0,991263","0,980947"
115,"0,999622","0,999816","0,999622","0,999816"
116,"1,000000","1,000000",1,1
