idade;EXP2012;OBT2012;EXP2013;OBT2013;EXP2014;OBT2014
0;0;0;0;0;0;0
1;1;0;0;0;0;0
2;3;0;1;0;0;0
3;3;0;3;0;1;0
4;0;0;3;0;4;0
5;4;0;0;0;3;0
6;2;0;5;0;0;0
7;2;0;2;0;6;0
8;2;0;2;0;2;0
9;8;0;2;0;3;0
10;8;0;8;0;3;0
11;3;0;9;0;9;0
12;26;0;3;0;9;0
13;7;0;27;0;9;0
14;11;0;10;0;28;0
15;30;0;30;0;23;0
16;89;0;84;0;77;0
17;158;0;163;0;143;0
18;234;4;247;2;259;1
19;8389;3;7216;3;6570;6
20;7114;5;7681;8;6427;2
21;5908;7;6918;4;7386;1
22;7190;2;5307;1;6226;5
23;3674;2;3833;2;3587;1
24;2987;0;3251;3;3670;1
25;2110;0;2311;0;2482;0
26;1853;0;2082;0;2217;1
27;2062;0;1819;0;1937;0
28;1919;0;2049;1;1819;1
29;1783;2;1921;1;2051;0
30;1697;2;1782;2;1923;1
31;1531;1;1700;1;1801;1
32;1532;2;1531;0;1703;0
33;1525;1;1522;0;1524;0
34;1514;0;1510;2;1558;0
35;1328;0;1489;1;1500;0
36;1318;0;1297;0;1479;0
37;1464;0;1316;0;1301;1
38;1748;2;1452;1;1326;0
39;1587;1;1739;1;1449;0
40;1530;2;1591;0;1755;1
41;1354;2;1526;0;1596;1
42;1721;2;1358;0;1544;3
43;2099;3;1735;2;1381;1
44;1963;3;2098;3;1739;2
45;1960;2;1971;1;2120;5
46;1874;7;1983;1;1986;5
47;1938;1;1901;2;1999;3
48;2135;7;1970;3;1930;2
49;2805;3;2157;1;2011;2
50;3301;5;2815;5;2188;2
51;3230;7;3316;7;2854;3
52;2395;6;3258;11;3357;9
53;2456;2;2422;11;3281;9
54;2479;10;2490;9;2456;9
55;1932;5;2516;7;2526;6
56;1635;7;1969;8;2578;9
57;1548;8;1672;8;2017;7
58;1555;6;1590;6;1714;11
59;1609;9;1589;7;1629;9
60;1587;13;1640;9;1655;11
61;1580;15;1608;7;1685;11
62;1657;10;1609;9;1635;10
63;1654;8;1685;12;1661;19
64;1720;24;1688;12;1721;16
65;1507;16;1720;18;1723;17
66;1527;14;1518;17;1738;19
67;1440;17;1545;25;1533;19
68;1292;20;1442;24;1558;25
69;1291;14;1293;22;1451;22
70;1159;21;1299;20;1310;20
71;1181;16;1163;24;1316;23
72;1140;23;1188;24;1167;25
73;1376;37;1137;18;1190;32
74;1503;34;1358;27;1146;32
75;1476;49;1489;53;1356;43
76;1258;54;1444;51;1455;52
77;1024;37;1221;36;1425;46
78;908;21;1002;36;1201;44
79;892;33;904;40;987;45
80;828;43;869;39;880;41
81;956;34;800;47;849;34
82;875;46;939;48;781;47
83;992;64;839;53;912;41
84;823;50;932;62;806;63
85;793;48;788;50;878;69
86;638;34;754;48;748;61
87;500;45;612;55;718;69
88;396;33;460;31;565;40
89;330;24;365;36;439;42
90;230;18;306;19;335;39
91;177;10;215;18;290;31
92;155;17;168;12;199;28
93;133;20;140;14;156;20
94;105;13;113;15;126;17
95;77;8;93;12;98;14
96;63;6;69;5;81;11
97;41;4;57;4;64;6
98;40;2;37;4;53;3
99;28;2;38;2;33;0
100;23;1;24;4;36;2
101;24;1;21;2;21;2
102;7;0;23;1;19;0
103;13;0;5;0;22;2
104;9;0;13;0;5;0
105;8;0;9;1;13;0
106;6;0;8;1;8;0
107;5;0;6;0;7;0
108;3;0;5;0;6;0
109;2;1;3;0;5;1
110;0;0;1;0;3;0
111;0;0;0;0;1;0
112;2;0;0;0;0;0
113;0;0;2;0;0;0
114;0;0;0;0;2;0
115;0;0;0;0;0;0
